model_name,outer_score,outer_score_ci_lower,outer_score_ci_upper,n_features_selected,inner_best_params,nested_fold_scores
XGBoost,0.872638888888889,0.826826635799639,0.9184511419781389,7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}","[0.8861111111111112, 0.9083333333333334, 0.8256944444444445, 0.8416666666666667, 0.9013888888888888]"
LightGBM,0.8483333333333334,0.7758859980370714,0.9207806686295954,7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'num_leaves': 15}","[0.8805555555555555, 0.9020833333333333, 0.8013888888888889, 0.7708333333333334, 0.8868055555555555]"
CatBoost,0.8704166666666667,0.8056329475453847,0.9352003857879487,7,"{'depth': 5, 'learning_rate': 0.05, 'n_estimators': 50}","[0.9208333333333334, 0.9027777777777778, 0.8395833333333333, 0.7944444444444445, 0.8944444444444445]"
Random Forest,0.8761111111111113,0.8267671524966055,0.9254550697256171,7,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}","[0.8986111111111111, 0.9111111111111111, 0.8166666666666667, 0.8541666666666667, 0.9]"
Gradient Boosting,0.8540277777777778,0.8098312486223688,0.8982243069331869,7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","[0.8263888888888888, 0.9013888888888889, 0.8291666666666667, 0.8298611111111112, 0.8833333333333333]"
SVC (RBF),0.8872222222222221,0.8242897500472322,0.9501546943972121,7,"{'C': 1, 'gamma': 'scale'}","[0.9388888888888889, 0.9194444444444445, 0.8152777777777778, 0.8555555555555555, 0.9069444444444444]"
